"Q17_Age","Q19_Sex","Q20_EduLevel","Q21_EduType","Q22_WorkExperience","Q32_CurrentSituation","Q29_Prof_Knowledge","Q30_Involvement","Q2023_Country_Residence","Q2023_Country_Origin","Q16_Device_Owned","Q2_Device_In_Mind","Q3_Positive_About_Device","Q3_Feel_Victimized","Q3_Device_Runs_Independently","Q3_Device_Cannot_Initiate_Actions","Q3_Me_The_User_In_Control","Q3_Device_Forces_Process_On_Me","Q3_Device_Cannot_Change_Task","Q3_Device_Has_Own_Intelligence","Q4_Understand_How_Device_Works","Q4_Not_Ideal_Use","Q4_Device_Active_Participant","Q4_Device_Dependent_On_Me","Q4_Freely_Choose_Tasks","Q4_Cannot_Achieve_Things_I_Want","Q4_Device_Handles_Better_Certain_Things","Q4_Device_Not_Helpful","Q5_Enjoy_Device","Q5_Negative_Feelings_Towards_Device","Q5_Miss_Device","Q5_Device_Pleasurable","Q6_Device_Has_Own_Personality","Q6_Device_Supports_Like_Friend","Q6_Consider_Naming_Device","Q7_Device_Part_Of_Myself","Q7_Dont_Like_Others_Use_My_Device","Q7_Feel_Incomplete_Without_Device","Q8_Device_Useful_For_My_Goals","Q8_Device_Better_Than_NonSmart_Equivalent","Q8_Function_Aspect_Most_Important","Q9_Device_Important_Part_Lifestyle","Q9_Device_Helps_Me_Larger_Community","Q9_Device_Helps_Me_Social_Relations","Q10_Saves_Me_Time","Q10_Saves_Me_Money","Q10_Price_Most_Important_Factor"
5,2,3,1,4,1,2,2,187,187,1,"Fitbit","Somewhat Agree","Strongly Disagree","Somewhat Disagree","Somewhat Disagree","Somewhat Agree","Strongly Disagree","Somewhat Agree","Somewhat Disagree","Neutral","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Somewhat Disagree","Strongly Disagree","Strongly Disagree","Somewhat Disagree","Strongly Agree","Somewhat Agree","Somewhat Agree","Neutral","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Strongly Disagree"
8,1,5,7,6,1,1,2,137,137,3,"thermostat for a vailant gas heater","Somewhat Agree","Neutral","Strongly Disagree","Strongly Disagree","Somewhat Agree","Somewhat Disagree","Strongly Agree","Strongly Disagree","Strongly Agree","Neutral","Strongly Disagree","Somewhat Agree","Somewhat Agree","Strongly Disagree","Neutral","Somewhat Disagree","Neutral","Neutral","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Neutral","Neutral","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Somewhat Agree","Neutral","Strongly Disagree"
4,2,5,7,3,1,1,1,163,163,7,"Google Home","Somewhat Agree","Neutral","Strongly Disagree","Somewhat Disagree","Strongly Agree","Strongly Disagree","Neutral","Somewhat Disagree","Strongly Agree","Neutral","Somewhat Agree","Somewhat Agree","Strongly Agree","Strongly Agree","Neutral","Neutral","Somewhat Agree","Neutral","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Somewhat Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Somewhat Agree","Strongly Agree","Somewhat Agree","Neutral","Somewhat Disagree","Strongly Disagree","Somewhat Agree","Strongly Disagree","Neutral"
7,1,7,8,6,1,1,2,187,187,1,NA,"Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Neutral","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Disagree","Neutral","Neutral","Neutral","Strongly Disagree","Somewhat Disagree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Somewhat Agree","Neutral","Somewhat Disagree","Strongly Agree","Strongly Agree","Strongly Agree"
10,1,4,7,7,1,1,2,161,161,8,"LG smart tv","Somewhat Agree","Somewhat Disagree","Neutral","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Neutral","Neutral","Somewhat Agree","Strongly Agree","Somewhat Disagree","Somewhat Agree","Somewhat Disagree","Strongly Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Strongly Disagree","Somewhat Disagree","Strongly Disagree","Strongly Disagree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Neutral","Strongly Disagree","Somewhat Agree","Somewhat Disagree","Somewhat Disagree"
5,1,4,7,3,1,1,1,122,164,8,NA,"Somewhat Agree","Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Neutral","Somewhat Agree","Somewhat Agree","Neutral","Neutral","Somewhat Agree","Neutral","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Neutral","Somewhat Disagree","Neutral","Neutral","Neutral","Neutral","Neutral","Somewhat Disagree","Neutral","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Neutral","Somewhat Disagree","Somewhat Agree","Neutral","Neutral"
3,2,7,11,9,1,2,2,187,179,1,"FitBit Charge2","Strongly Agree","Strongly Disagree","Strongly Agree","Somewhat Disagree","Neutral","Somewhat Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Somewhat Disagree","Neutral","Somewhat Disagree","Neutral","Somewhat Disagree","Strongly Disagree","Strongly Disagree","Somewhat Agree","Neutral","Somewhat Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Somewhat Agree","Somewhat Agree","Neutral","Somewhat Agree","Somewhat Agree","Somewhat Agree","Strongly Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Neutral","Somewhat Agree"
8,1,5,7,6,1,1,1,61,10,7,"Alexa","Neutral","Neutral","Somewhat Agree","Somewhat Disagree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Neutral","Neutral","Somewhat Disagree","Neutral","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Neutral","Somewhat Agree","Somewhat Disagree","Neutral","Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Somewhat Agree","Neutral","Somewhat Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Somewhat Agree","Somewhat Disagree",NA
8,1,5,8,6,1,2,2,31,31,1,"Fitbit","Strongly Agree","Strongly Disagree","Neutral","Neutral","Neutral","Strongly Disagree","Strongly Agree","Somewhat Disagree","Strongly Agree","Somewhat Agree","Somewhat Agree","Neutral","Strongly Agree","Strongly Disagree","Strongly Agree","Neutral","Somewhat Agree","Strongly Disagree","Somewhat Agree","Somewhat Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Somewhat Disagree","Strongly Disagree","Somewhat Agree","Strongly Agree","Somewhat Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Neutral","Strongly Disagree","Somewhat Agree"
5,2,5,7,3,1,1,2,142,142,1,NA,"Strongly Agree","Strongly Disagree","Neutral","Somewhat Disagree","Somewhat Agree","Neutral","Neutral","Somewhat Disagree","Somewhat Agree","Neutral","Neutral","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Neutral","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Neutral","Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Neutral","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Neutral","Somewhat Agree","Neutral","Neutral","Strongly Disagree","Neutral","Neutral","Neutral"
7,1,5,1,5,1,1,2,187,187,8,NA,"Somewhat Agree","Neutral","Somewhat Disagree","Somewhat Disagree","Neutral","Somewhat Agree","Somewhat Agree","Strongly Disagree","Somewhat Agree","Somewhat Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Somewhat Agree","Neutral","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Somewhat Disagree","Strongly Disagree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Neutral","Somewhat Agree","Neutral","Somewhat Disagree","Somewhat Agree","Somewhat Disagree"
11,1,5,2,7,1,1,2,128,163,2,"iRobot Roomba","Strongly Agree","Somewhat Disagree","Somewhat Agree","Neutral","Somewhat Agree","Strongly Disagree","Somewhat Disagree","Somewhat Agree","Strongly Agree","Strongly Disagree","Somewhat Disagree","Neutral","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Disagree","Neutral","Somewhat Agree","Somewhat Agree","Somewhat Agree","Neutral","Strongly Disagree","Somewhat Agree","Strongly Disagree","Somewhat Agree","Strongly Agree","Somewhat Agree","Somewhat Agree","Strongly Disagree","Somewhat Disagree","Strongly Agree","Somewhat Agree","Somewhat Disagree"
7,2,4,8,6,1,1,2,163,61,8,NA,"Neutral","Somewhat Disagree","Somewhat Disagree","Neutral","Neutral","Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Somewhat Agree","Strongly Disagree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Neutral","Somewhat Disagree","Somewhat Disagree","Strongly Disagree","Somewhat Agree","Neutral","Somewhat Agree","Somewhat Agree","Strongly Agree","Somewhat Agree","Somewhat Agree","Strongly Agree","Strongly Agree","Somewhat Agree","Neutral","Somewhat Disagree"
11,1,5,7,7,3,1,1,60,60,8,"Apple TV","Somewhat Agree","Neutral","Neutral","Somewhat Agree","Neutral","Strongly Agree","Somewhat Agree","Strongly Disagree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Neutral","Somewhat Agree","Somewhat Agree","Neutral","Somewhat Agree","Somewhat Agree","Somewhat Agree","Strongly Disagree","Somewhat Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Somewhat Agree","Neutral","Strongly Agree","Neutral","Strongly Disagree","Strongly Disagree","Neutral","Neutral","Strongly Disagree"
6,1,4,7,3,1,1,1,187,187,1,"Garmin Forerunner 935","Strongly Agree","Somewhat Disagree","Strongly Disagree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Neutral","Somewhat Disagree","Strongly Agree","Somewhat Disagree","Neutral","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Strongly Agree","Strongly Disagree","Strongly Agree","Somewhat Disagree","Neutral","Somewhat Agree","Strongly Disagree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Strongly Agree","Somewhat Agree","Somewhat Agree","Strongly Agree","Neutral","Somewhat Disagree","Strongly Agree","Somewhat Agree","Strongly Disagree"
8,2,5,7,6,1,1,2,84,84,4,NA,"Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Disagree","Somewhat Agree","Neutral","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree"
9,1,4,7,7,1,1,1,185,78,8,"Mobile Phone","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Disagree","Somewhat Agree","Strongly Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Strongly Disagree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree"
3,2,7,7,9,1,1,1,138,138,1,"Apple Watch","Somewhat Agree","Somewhat Disagree","Somewhat Disagree","Neutral","Strongly Agree","Strongly Disagree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Neutral","Neutral","Somewhat Agree","Strongly Disagree","Somewhat Disagree","Neutral","Somewhat Agree","Somewhat Agree","Strongly Agree","Somewhat Agree","Neutral","Somewhat Disagree","Strongly Disagree","Somewhat Disagree","Strongly Agree","Somewhat Agree","Somewhat Agree","Strongly Agree","Neutral","Strongly Agree","Neutral","Strongly Disagree","Strongly Disagree","Strongly Disagree","Somewhat Disagree"
9,1,5,7,7,2,1,1,185,185,5,"Withings Body Cardio","Strongly Agree","Somewhat Disagree","Neutral","Somewhat Agree","Neutral","Somewhat Agree","Somewhat Agree","Strongly Disagree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Strongly Agree","Somewhat Disagree","Strongly Agree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Strongly Disagree","Somewhat Agree","Strongly Disagree","Somewhat Disagree","Somewhat Agree","Somewhat Disagree","Strongly Agree","Strongly Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Strongly Disagree","Strongly Agree","Strongly Disagree","Somewhat Disagree"
7,4,4,7,6,1,1,1,187,78,8,NA,"Somewhat Agree","Neutral","Somewhat Agree","Somewhat Disagree","Neutral","Somewhat Agree","Somewhat Disagree","Somewhat Disagree","Somewhat Agree","Neutral","Somewhat Disagree","Somewhat Disagree","Somewhat Agree","Neutral","Somewhat Disagree","Neutral","Somewhat Agree","Somewhat Disagree","Neutral","Somewhat Agree","Neutral","Somewhat Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Disagree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Somewhat Disagree","Somewhat Disagree","Strongly Disagree","Somewhat Disagree","Somewhat Disagree","Somewhat Agree"
5,1,4,7,3,1,1,1,163,163,1,"Fitbit Flex band","Somewhat Agree","Somewhat Agree","Neutral","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Strongly Agree","Somewhat Agree","Neutral","Somewhat Agree","Somewhat Agree","Neutral","Neutral","Somewhat Agree","Somewhat Agree","Strongly Disagree","Neutral","Somewhat Disagree","Neutral","Somewhat Disagree","Somewhat Disagree","Strongly Agree","Strongly Disagree","Somewhat Agree","Strongly Agree","Strongly Agree","Neutral","Somewhat Agree","Neutral","Somewhat Agree","Somewhat Disagree","Somewhat Agree"
7,1,5,7,4,1,1,2,84,84,1,"Samsung Gear","Somewhat Agree","Somewhat Disagree","Neutral","Somewhat Disagree","Strongly Agree","Somewhat Disagree","Somewhat Disagree","Neutral","Somewhat Agree","Neutral","Somewhat Disagree","Neutral","Somewhat Agree","Strongly Disagree","Somewhat Agree","Somewhat Disagree","Strongly Agree","Neutral","Somewhat Disagree","Strongly Agree","Somewhat Disagree","Somewhat Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Neutral","Strongly Agree","Somewhat Agree","Somewhat Disagree","Somewhat Disagree","Strongly Disagree","Somewhat Agree","Somewhat Disagree","Somewhat Disagree"
3,1,4,8,2,1,2,2,122,65,1,"Apple Watch","Strongly Agree","Strongly Disagree","Strongly Disagree","Somewhat Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Agree","Neutral","Strongly Agree","Somewhat Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Disagree"
9,1,5,7,7,1,1,1,187,187,1,"Fitbit","Somewhat Agree","Strongly Disagree","Strongly Disagree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Somewhat Disagree","Somewhat Agree","Neutral","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Strongly Disagree","Somewhat Disagree","Strongly Disagree","Somewhat Agree","Neutral","Neutral","Somewhat Agree","Strongly Disagree","Somewhat Agree","Strongly Disagree","Somewhat Agree","Neutral","Neutral","Somewhat Agree","Strongly Agree","Strongly Agree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Somewhat Disagree"
5,1,5,8,2,1,1,1,187,187,8,"Google chromrcast","Strongly Agree","Strongly Disagree","Strongly Disagree","Somewhat Agree","Strongly Agree","Somewhat Disagree","Somewhat Agree","Strongly Disagree","Strongly Agree","Neutral","Strongly Disagree","Strongly Agree","Strongly Agree","Somewhat Disagree","Somewhat Agree","Strongly Disagree","Strongly Agree","Somewhat Agree","Strongly Disagree","Somewhat Disagree","Somewhat Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Somewhat Agree","Strongly Agree","Strongly Agree","Somewhat Agree","Somewhat Disagree","Strongly Disagree","Strongly Agree","Somewhat Agree","Strongly Agree"
7,2,4,7,5,1,1,1,84,187,1,"FitBit Charge 2","Somewhat Agree","Strongly Disagree","Somewhat Agree","Somewhat Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Agree","Somewhat Disagree","Somewhat Disagree","Strongly Agree","Strongly Agree","Neutral","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Strongly Disagree","Somewhat Agree","Strongly Disagree","Somewhat Agree","Somewhat Agree","Strongly Disagree","Somewhat Agree","Neutral","Somewhat Disagree","Somewhat Agree","Neutral","Somewhat Disagree","Neutral","Somewhat Disagree","Somewhat Disagree"
4,1,4,7,9,1,1,2,187,36,7,"Alexa","Neutral","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Strongly Agree","Somewhat Agree","Neutral","Strongly Agree","Somewhat Agree","Neutral","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Neutral","Neutral","Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Neutral","Neutral","Somewhat Agree","Neutral","Somewhat Agree"
6,1,4,7,5,2,1,2,52,52,8,NA,"Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Neutral","Strongly Agree","Strongly Disagree","Somewhat Agree","Somewhat Disagree","Somewhat Disagree","Strongly Agree","Strongly Agree","Neutral","Strongly Disagree","Neutral","Somewhat Agree","Somewhat Disagree","Strongly Disagree","Somewhat Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Neutral","Strongly Disagree","Strongly Disagree","Somewhat Agree","Somewhat Agree","Somewhat Disagree"
2,2,7,1,9,1,2,2,187,65,2,"Vacuum Conga","Strongly Agree","Strongly Disagree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Strongly Disagree","Neutral","Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Neutral","Strongly Agree","Somewhat Agree","Strongly Agree","Somewhat Agree","Strongly Agree","Neutral","Strongly Disagree","Strongly Disagree","Somewhat Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Neutral","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Neutral","Strongly Disagree"
4,2,4,7,2,1,1,2,84,143,1,"Firbit Charge 2","Strongly Agree","Strongly Disagree","Neutral","Somewhat Agree","Somewhat Agree","Strongly Disagree","Strongly Agree","Strongly Disagree","Somewhat Agree","Somewhat Disagree","Strongly Disagree","Somewhat Agree","Strongly Agree","Somewhat Disagree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Neutral","Strongly Disagree","Somewhat Agree","Neutral","Strongly Agree","Somewhat Disagree","Strongly Disagree","Strongly Disagree","Somewhat Agree","Somewhat Agree","Somewhat Agree"
7,1,7,7,5,2,1,2,138,138,3,"Meross Smart Wifi Plug","Strongly Agree","Strongly Disagree","Somewhat Disagree","Somewhat Agree","Strongly Agree","Strongly Disagree","Neutral","Somewhat Disagree","Strongly Agree","Somewhat Disagree","Somewhat Disagree","Neutral","Strongly Agree","Neutral","Somewhat Agree","Strongly Disagree","Somewhat Agree","Somewhat Disagree","Somewhat Disagree","Neutral","Strongly Disagree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Strongly Disagree","Somewhat Agree","Strongly Agree","Strongly Agree","Neutral","Somewhat Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Somewhat Agree"
7,1,5,7,5,1,1,1,184,3,1,"Apple","Neutral","Neutral","Strongly Disagree","Somewhat Disagree","Somewhat Disagree","Neutral","Neutral","Somewhat Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Somewhat Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral"
6,1,4,7,4,1,1,1,84,84,8,"LG B8","Strongly Agree","Somewhat Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Somewhat Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Somewhat Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Disagree","Neutral","Somewhat Disagree","Strongly Agree","Somewhat Agree","Neutral","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Somewhat Agree","Strongly Disagree","Somewhat Agree","Strongly Agree","Somewhat Agree","Strongly Agree","Strongly Agree","Strongly Agree","Somewhat Agree","Somewhat Disagree","Strongly Disagree"
4,1,7,7,9,1,1,2,65,65,2,"iRobot","Strongly Agree","Strongly Disagree","Somewhat Agree","Somewhat Agree","Strongly Agree","Neutral","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Neutral","Strongly Disagree","Somewhat Agree","Strongly Agree","Somewhat Disagree","Neutral","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Somewhat Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Somewhat Agree","Somewhat Agree","Strongly Agree","Neutral","Strongly Disagree","Strongly Disagree","Somewhat Agree","Neutral","Somewhat Disagree"
6,1,5,7,4,1,1,1,65,65,2,"ecovac","Neutral","Strongly Disagree","Somewhat Disagree","Somewhat Agree","Neutral","Somewhat Agree","Strongly Disagree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Strongly Disagree","Neutral","Somewhat Agree","Somewhat Agree","Strongly Disagree","Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Somewhat Disagree","Strongly Disagree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Somewhat Agree","Somewhat Disagree","Neutral"
5,1,5,10,2,1,1,1,31,31,7,"Google Home Mini","Somewhat Agree","Somewhat Disagree","Neutral","Strongly Agree","Strongly Agree","Somewhat Agree","Somewhat Agree","Neutral","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Neutral","Neutral","Neutral","Somewhat Agree","Somewhat Agree","Neutral","Strongly Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Strongly Disagree","Neutral","Strongly Disagree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Somewhat Disagree"
9,1,5,7,6,1,1,2,178,178,8,NA,"Somewhat Agree","Neutral","Somewhat Disagree","Somewhat Agree","Strongly Agree","Neutral","Neutral","Somewhat Agree","Neutral","Neutral","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Neutral","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Neutral","Strongly Agree","Strongly Agree","Strongly Agree","Somewhat Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Somewhat Agree","Strongly Agree","Strongly Agree","Neutral"
6,2,5,8,4,1,1,2,187,187,2,"Roomba","Somewhat Agree","Strongly Disagree","Somewhat Agree","Strongly Disagree","Somewhat Agree","Strongly Disagree","Strongly Agree","Strongly Disagree","Somewhat Agree","Neutral","Strongly Disagree","Strongly Agree","Strongly Agree","Somewhat Disagree","Strongly Agree","Strongly Disagree","Somewhat Agree","Somewhat Agree","Neutral","Neutral","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Disagree","Somewhat Agree","Neutral","Somewhat Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Disagree","Somewhat Disagree"
6,2,5,7,5,1,1,2,187,187,3,"nest thermostat","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Somewhat Disagree","Somewhat Disagree","Neutral","Somewhat Disagree","Strongly Disagree","Somewhat Agree","Neutral","Somewhat Agree","Strongly Disagree","Neutral","Neutral","Neutral","Neutral","Somewhat Agree","Somewhat Disagree","Neutral","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Somewhat Disagree","Strongly Disagree","Somewhat Disagree","Somewhat Disagree","Somewhat Agree","Strongly Agree","Somewhat Agree","Somewhat Agree","Neutral","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Somewhat Disagree"
6,1,5,7,4,1,1,1,84,84,8,NA,"Strongly Agree","Somewhat Disagree","Somewhat Disagree","Somewhat Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Agree","Somewhat Disagree","Somewhat Disagree","Strongly Disagree","Somewhat Agree","Strongly Disagree","Strongly Disagree","Neutral","Somewhat Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Somewhat Agree","Strongly Agree","Strongly Agree","Somewhat Disagree","Somewhat Disagree","Strongly Disagree","Somewhat Agree","Somewhat Disagree","Somewhat Disagree"
8,1,5,7,6,1,1,1,187,82,5,"Heart monitor, prototype stage only","Somewhat Agree","Strongly Disagree","Somewhat Agree","Strongly Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Strongly Agree","Somewhat Agree","Somewhat Agree","Strongly Agree","Somewhat Agree","Neutral","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Neutral","Somewhat Agree","Somewhat Disagree","Somewhat Disagree","Somewhat Agree","Neutral","Strongly Agree","Neutral","Somewhat Agree","Neutral","Somewhat Agree","Neutral","Somewhat Agree","Neutral","Neutral","Neutral","Somewhat Agree"
